ELCODE_BCD,sp_code_calc
PGPIN01050,abiefras
AFCAA01040,acipoxyr
PDFAB04080,aescvirg
IMBIV02030,alashete
IMBIV02100,alasvari
IMBIV02110,alasviri
PDAMA040Z0,amarpumi
AAAAA01070,ambymabe
AAAAA01146,ambytigr
AFCQC01040,ammoclar
ABPBXA0030,ammohens
NBHEP05020,aneushar
ICMAL04010,antrlira
ITUNI50040,appafalc
ITUNI50100,appaturn
PDBET020J0,betulent
PDBRA06320,boecsero
PDAST1E090,boltmont
IIHYM24020,bombaffi
ITUNI50060,bracinso
ITUNI50070,braclami
ITUNI50080,bracmend
ABNNF11020,calicanu
ICMAL07B30,cambcall
NBMUS1K040,campcaro
PDBRA0K0P0,cardmicr
ARAAA01010,carecare
PMCYP03JZ0,carejuni
PMCYP03BL0,careroan
NLLEC75010,cetrline
ABNNB03070,charmelo
ABNNB03040,charwils
AFCJB31010,chrocumb
AFCJB31060,chrotenn
IICOL02011,cicidors
PDRAN08010,clemaddi
PDRAN08110,clemviti
PMORC0M070,corabent
AMACC08022,coryrafi
AMACC08012,corytown
ARADE02044,crothorr
IMBIV08010,cumbmono
IMBIV10020,cyprsteg
AFCJB49220,cyprwhip
ARAAD03010,deirreti
PDFAB1D100,desmochr
PMPOA240BC,dichcaer
IMBIV12010,dromdrom
PDAST38030,echilaev
IMGASK2060,elimarac
IMBIV14080,ellicras
IMBIV14180,ellilanc
AFCQB10010,ennechae
IMBIV16030,epiobrev
IMBIV16040,epiocaps
IMBIV16064,epioflor
IMBIV16190,epiotriq
AFCJB50010,erimcahn
AFCJB49270,erimmona
IILEP37171,erynperspers
AFCQC02890,etheacut
AFCQC02110,ethechlo
AFCQC02150,ethecoll
AFCQC02C20,ethedeno
AFCQC02F50,etheperc
AFCQC02830,ethevari
PDAST3P2D0,eupamari
ABNKD06070,falcpere
PMCYP0B0F0,fimbperp
IMGASG5100,fontbott
IMGASG5130,fontmorr
IMBIV17040,fusccor
IMBIV17050,fusccune
IMBIV40050,fuscmaso
ABNNM08010,gelonilo
AMAFB09022,glausabrcolo
AMAFB09023,glausabrfusc
ARAAD02020,glypinsc
ARAAD02040,glypmuhl
PDAPI1Y040,harpnodo
PDAST4L0K0,helevirg
IMGAS50030,helidiad
IMGAS50100,helilire
PMLIL10010,helobull
IMBIV20010,hemilata
NLT0042380,heteerec
PDSAX0E190,heucalba
IMGASS9010,holsunth
